osmid,geometry,type,district
2275104014,POINT (44.5063258 40.1800833),shop,Kentron
2275393794,POINT (44.4954459 40.1963824),cafe,Arabkir
2278431339,POINT (44.5211727 40.210733),school,Arabkir
2278925733,POINT (44.5031133 40.179947),hospital,Kentron
2278925734,POINT (44.5078234 40.1806445),shop,Kentron
2278925737,POINT (44.5087576 40.1803879),shop,Kentron
2278925765,POINT (44.5010736 40.1786953),work,Kentron
2278925782,POINT (44.5071426 40.1815101),shop,Kentron
2278925787,POINT (44.5025047 40.1779797),school,Kentron
2278925788,POINT (44.5039276 40.1799518),school,Kentron
2278925789,POINT (44.5090574 40.1796305),school,Kentron
2278936157,POINT (44.5172465 40.1787187),cafe,Kentron
2279163081,POINT (44.4641238 40.1668675),school,Malatia
2279163150,POINT (44.4575484 40.1728217),shop,Malatia
2279237295,POINT (44.5045964 40.1813387),shop,Kentron
2279292545,POINT (44.5171127 40.1791889),shop,Kentron
2279292546,POINT (44.5082248 40.1781015),shop,Kentron
2279292547,POINT (44.5195721 40.1755564),shop,Kentron
2279292548,POINT (44.5073194 40.1781122),shop,Kentron
2279292561,POINT (44.5173446 40.1773761),shop,Kentron
2279361137,POINT (44.5133877 40.1798903),cafe,Kentron
2279779977,POINT (44.50544 40.1827426),sport,Kentron
2279779982,POINT (44.5175785 40.1775055),shop,Kentron
2279819820,POINT (44.5145622 40.1836719),shop,Kentron
2279819848,POINT (44.5246152 40.1873377),cafe,Kentron
2279819849,POINT (44.5240519 40.1878175),shop,Kentron
2280775624,POINT (44.5110569 40.178887),shop,Kentron
2281099893,POINT (44.5349729 40.2203348),church,Qanaqer zeuytun
2281101901,POINT (44.5349029 40.2206879),kindergarten,Qanaqer zeuytun
2281168846,POINT (44.531111 40.2143753),cafe,Arabkir
2281257203,POINT (44.4945753 40.196011),shop,Arabkir
2281257258,POINT (44.4952301 40.1962493),shop,Arabkir
2282231206,POINT (44.5105576 40.1463618),shop,Erebuni
2282231219,POINT (44.5428436 40.1159904),cafe,Erebuni
2283528747,POINT (44.5299426 40.2026678),university,Qanaqer zeuytun
2290042770,POINT (44.5309175 40.1863438),shop,Norq marash
2290340660,POINT (44.5033796 40.1512881),shop,Shengavit
2295985986,POINT (44.5283229 40.151699),cafe,Erebuni
2296281312,POINT (44.4770665 40.1929709),work,Ajapnyak
2298306769,POINT (44.5026131 40.1786319),shop,Kentron
2298306778,POINT (44.5198815 40.180871),shop,Kentron
2298306789,POINT (44.5125889 40.1998578),shop,Arabkir
2298306793,POINT (44.4935055 40.201122),shop,Arabkir
2298306797,POINT (44.5287237 40.2090055),shop,Arabkir
2298327620,POINT (44.5001645 40.1822028),hospital,Kentron
2300185536,POINT (44.5404261 40.186096),kindergarten,Norq marash
2300185672,POINT (44.5439573 40.1837072),school,Norq marash
2300185673,POINT (44.5402703 40.1800606),school,Norq marash
2300185674,POINT (44.5411077 40.1868045),church,Norq marash
2300206083,POINT (44.5398837 40.2002617),school,Qanaqer zeuytun
2300206084,POINT (44.5370846 40.1997407),shop,Qanaqer zeuytun
2300206085,POINT (44.5369752 40.1997887),hospital,Qanaqer zeuytun
2300206086,POINT (44.5368057 40.1992499),shop,Qanaqer zeuytun
2300206212,POINT (44.5369387 40.203501),hospital,Qanaqer zeuytun
2303837281,POINT (44.5184736 40.1818855),shop,Kentron
2303837282,POINT (44.5204674 40.1854068),shop,Kentron
2308758781,POINT (44.5715126 40.2213988),shop,Avan
2311191720,POINT (44.4738301 40.1175849),church,Shengavit
2311191721,POINT (44.4732618 40.117417),church,Shengavit
2312609447,POINT (44.5105921 40.1751084),shop,Kentron
